keys,en,de,pl
START_GAME,Start Game,Spiel Starten,Rozpocznij grę
LOAD_GAME,Load Game,Spiel Laden,
OPTIONS,Options,Optionen,
QUIT,Quit,Beenden,
LANGUAGE,Language,Sprache,Language but in Polish
NATIVE_LANGUAGE_NAME,English,Deutsch,Polski
VOLUME,Volume,Lautstarke,
CONTROLS,Controls,Steuerung,
MOVE_UP,Move up:,Nach oben laufen:,
MOVE_DOWN,Move down:,Nach unten laufen:,
MOVE_LEFT,Move left:,Nach links laufen:,
MOVE_RIGHT,Move right:,Nach rechts laufen:,
SHOOT_UP,Shoot up:,Nach oben schießen:,
SHOOT_DOWN,Shoot down:,Nach unten schießen:,
SHOOT_LEFT,Shoot left:,Nach links schießen:,
SHOOT_RIGHT,Shoot right:,Nach rechts schießen:,
USE_ITEM,Use Item:,Gegenstand benutzen:,
BACK,Back,Zuruck,
KEY_PICKER,Press any Key to rebind,Drucke eine Taste zum Belegen,
